Coordinates,Attribute1,Attribute2,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,File
"((1, 3), (2, 3))",28,318.5,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((1, 3), (1, 4))",18,268.05555555555554,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((2, 3), (2, 4))",10,161.5,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((5, 1), (5, 2))",10,161.5,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((5, 2), (5, 3))",20,278.05000000000007,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((5, 4), (6, 4))",1902,818.8674953682844,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((5, 5), (6, 5))",12,201.66666666666666,500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,board_n_416.txt
"((0, 1), (0, 2))",86,216.53488372093022,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((0, 5), (0, 6))",57,185.75438596491227,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((2, 2), (2, 3))",1450,392.81733442802465,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((2, 3), (3, 3))",55,182.53333333333333,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((2, 3), (2, 4))",137,246.1897810218978,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((2, 5), (2, 6))",69,200.4830917874396,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((4, 1), (5, 1))",56,184.82142857142858,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((5, 3), (5, 4))",90,220.6,500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,board_n_370.txt
"((1, 3), (1, 4))",2,180.0,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((2, 3), (2, 4))",2,140.0,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((3, 1), (4, 1))",2,160.0,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((3, 3), (4, 3))",2,180.0,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((3, 4), (3, 5))",2,226.66666666666669,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((4, 2), (4, 3))",1986,1585.7862497802078,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((4, 3), (5, 3))",2,200.0,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((4, 4), (4, 5))",2,350.0,500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,board_n_364.txt
"((0, 2), (0, 3))",44,153.13636363636368,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((0, 3), (1, 3))",253,268.6666666666665,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((1, 2), (1, 3))",96,216.29166666666663,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((1, 5), (1, 6))",45,155.9111111111111,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((2, 1), (3, 1))",78,201.62820512820514,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((3, 3), (4, 3))",99,219.62626262626262,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((4, 2), (4, 3))",106,223.29245283018867,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((5, 0), (5, 1))",1279,361.98006254886536,500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,board_n_402.txt
"((1, 0), (2, 0))",12,165.69444444444446,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((2, 0), (3, 0))",23,254.65217391304347,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((2, 0), (2, 1))",10,129.0,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((2, 4), (3, 4))",11,142.72727272727272,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((3, 0), (4, 0))",1841,767.4965469077347,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((3, 4), (4, 4))",11,148.4848484848485,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((3, 5), (4, 5))",19,233.42105263157896,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((4, 0), (5, 0))",16,202.5,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((4, 0), (4, 1))",16,202.70833333333331,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((4, 3), (5, 3))",17,218.1372549019608,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((5, 0), (5, 1))",12,166.25000000000003,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
