Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,Move_1_Coordinates,Move_1_Attribute1,Move_1_Attribute2,Move_2_Coordinates,Move_2_Attribute1,Move_2_Attribute2,Move_3_Coordinates,Move_3_Attribute1,Move_3_Attribute2,Move_4_Coordinates,Move_4_Attribute1,Move_4_Attribute2,Move_5_Coordinates,Move_5_Attribute1,Move_5_Attribute2,Move_6_Coordinates,Move_6_Attribute1,Move_6_Attribute2,Move_7_Coordinates,Move_7_Attribute1,Move_7_Attribute2,File,Move_8_Coordinates,Move_8_Attribute1,Move_8_Attribute2,Move_9_Coordinates,Move_9_Attribute1,Move_9_Attribute2,Move_10_Coordinates,Move_10_Attribute1,Move_10_Attribute2,Move_11_Coordinates,Move_11_Attribute1,Move_11_Attribute2,Move_12_Coordinates,Move_12_Attribute1,Move_12_Attribute2,Move_13_Coordinates,Move_13_Attribute1,Move_13_Attribute2,Move_14_Coordinates,Move_14_Attribute1,Move_14_Attribute2,Move_15_Coordinates,Move_15_Attribute1,Move_15_Attribute2,Move_16_Coordinates,Move_16_Attribute1,Move_16_Attribute2,Move_17_Coordinates,Move_17_Attribute1,Move_17_Attribute2,Move_18_Coordinates,Move_18_Attribute1,Move_18_Attribute2,Move_19_Coordinates,Move_19_Attribute1,Move_19_Attribute2,Move_20_Coordinates,Move_20_Attribute1,Move_20_Attribute2,Move_21_Coordinates,Move_21_Attribute1,Move_21_Attribute2,Move_22_Coordinates,Move_22_Attribute1,Move_22_Attribute2,Move_23_Coordinates,Move_23_Attribute1,Move_23_Attribute2
500,2,2000,2,30105010404010204040104010101020604020506050501020503010206060503060401010501010606020403060601030,"((1, 3), (2, 3))",28,318.5,"((1, 3), (1, 4))",18.0,268.05555555555554,"((2, 3), (2, 4))",10.0,161.5,"((5, 1), (5, 2))",10.0,161.5,"((5, 2), (5, 3))",20.0,278.05000000000007,"((5, 4), (6, 4))",1902.0,818.8674953682844,"((5, 5), (6, 5))",12.0,201.66666666666666,board_n_416.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,40605060604060503010203040604040201060601020406020101040205030301020406030401050202040206030605030,"((0, 1), (0, 2))",86,216.53488372093022,"((0, 5), (0, 6))",57.0,185.75438596491227,"((2, 2), (2, 3))",1450.0,392.81733442802465,"((2, 3), (3, 3))",55.0,182.53333333333333,"((2, 3), (2, 4))",137.0,246.1897810218978,"((2, 5), (2, 6))",69.0,200.4830917874396,"((4, 1), (5, 1))",56.0,184.82142857142858,board_n_370.txt,"((5, 3), (5, 4))",90.0,220.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,60504020604020301030506020602040506040401060504060501010303060102050606050206050501030503060302040,"((1, 3), (1, 4))",2,180.0,"((2, 3), (2, 4))",2.0,140.0,"((3, 1), (4, 1))",2.0,160.0,"((3, 3), (4, 3))",2.0,180.0,"((3, 4), (3, 5))",2.0,226.66666666666669,"((4, 2), (4, 3))",1986.0,1585.7862497802078,"((4, 3), (5, 3))",2.0,200.0,board_n_364.txt,"((4, 4), (4, 5))",2.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30101030602030604040103030102020101040203030404030501060202060106060405020505010304050602040203060,"((0, 2), (0, 3))",44,153.13636363636368,"((0, 3), (1, 3))",253.0,268.6666666666665,"((1, 2), (1, 3))",96.0,216.29166666666663,"((1, 5), (1, 6))",45.0,155.9111111111111,"((2, 1), (3, 1))",78.0,201.62820512820514,"((3, 3), (4, 3))",99.0,219.62626262626262,"((4, 2), (4, 3))",106.0,223.29245283018867,board_n_402.txt,"((5, 0), (5, 1))",1279.0,361.98006254886536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,"((1, 0), (2, 0))",12,165.69444444444446,"((2, 0), (3, 0))",23.0,254.65217391304347,"((2, 0), (2, 1))",10.0,129.0,"((2, 4), (3, 4))",11.0,142.72727272727272,"((3, 0), (4, 0))",1841.0,767.4965469077347,"((3, 4), (4, 4))",11.0,148.4848484848485,"((3, 5), (4, 5))",19.0,233.42105263157896,board_n_2194.txt,"((4, 0), (5, 0))",16.0,202.5,"((4, 0), (4, 1))",16.0,202.70833333333331,"((4, 3), (5, 3))",17.0,218.1372549019608,"((5, 0), (5, 1))",12.0,166.25000000000003,"((5, 3), (5, 4))",12.0,161.66666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,"((0, 1), (0, 2))",14,181.78571428571428,"((2, 1), (3, 1))",1449.0,521.6429064379371,"((2, 4), (3, 4))",34.0,310.3529411764706,"((2, 4), (2, 5))",18.0,223.33333333333331,"((2, 5), (2, 6))",20.0,237.5,"((3, 1), (4, 1))",20.0,245.66666666666666,"((3, 1), (3, 2))",280.0,469.6988095238096,board_n_358.txt,"((3, 4), (4, 4))",42.0,340.0793650793651,"((3, 4), (3, 5))",33.0,313.3737373737374,"((4, 0), (4, 1))",34.0,314.3333333333333,"((4, 1), (5, 1))",14.0,171.42857142857142,"((4, 3), (4, 4))",42.0,339.8253968253968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,"((0, 0), (1, 0))",33,229.2020202020202,"((1, 0), (2, 0))",28.0,209.83333333333334,"((1, 0), (1, 1))",24.0,188.375,"((1, 1), (2, 1))",23.0,184.7826086956522,"((3, 5), (3, 6))",52.0,276.8846153846154,"((4, 0), (4, 1))",19.0,154.73684210526315,"((4, 3), (5, 3))",37.0,241.40540540540542,board_n_1489.txt,"((4, 3), (4, 4))",71.0,303.46478873239437,"((4, 4), (5, 4))",29.0,210.17241379310346,"((4, 4), (4, 5))",39.0,245.71794871794873,"((5, 1), (6, 1))",1620.0,643.8891632373134,"((5, 3), (5, 4))",25.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,"((0, 3), (0, 4))",55,386.32121212121217,"((0, 4), (1, 4))",15.0,228.66666666666666,"((1, 0), (1, 1))",12.0,182.91666666666666,"((1, 4), (1, 5))",10.0,161.5,"((2, 5), (2, 6))",12.0,188.33333333333334,"((3, 1), (4, 1))",14.0,215.0,"((4, 3), (4, 4))",10.0,157.33333333333334,board_n_2180.txt,"((4, 4), (5, 4))",30.0,330.53333333333336,"((4, 4), (4, 5))",1770.0,622.1510851044762,"((4, 5), (4, 6))",17.0,248.43137254901958,"((5, 0), (6, 0))",12.0,181.66666666666666,"((5, 2), (6, 2))",12.0,190.83333333333334,"((5, 3), (5, 4))",17.0,247.64705882352942,"((5, 4), (5, 5))",14.0,214.28571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,40305020103050504010502060601060206010103050205050404030503010603050103010606040105020502020103050,"((1, 0), (2, 0))",92,146.23913043478257,"((2, 3), (3, 3))",149.0,176.57046979865768,"((3, 0), (3, 1))",543.0,229.2301148820486,"((4, 5), (4, 6))",1216.0,284.38982873851285,,,,,,,,,,board_n_1462.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,"((0, 4), (0, 5))",11,154.54545454545453,"((2, 3), (2, 4))",1845.0,636.36589237321,"((2, 4), (3, 4))",12.0,165.0,"((4, 5), (5, 5))",32.0,306.1770833333333,"((5, 1), (6, 1))",11.0,139.0909090909091,"((5, 1), (5, 2))",20.0,243.00000000000006,"((5, 2), (6, 2))",15.0,205.0,board_n_1304.txt,"((5, 4), (6, 4))",23.0,260.14492753623193,"((5, 5), (6, 5))",14.0,182.5,"((5, 5), (5, 6))",17.0,221.9607843137255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
