500
2
2000
2
20206050602030605050402030201050204050204050402060105020603060604050205040304030206060601060502010
(((0, 3), (1, 3)), 52, 171.36538461538464)
(((0, 5), (1, 5)), 60, 183.52222222222227)
(((1, 4), (1, 5)), 56, 178.46428571428572)
(((1, 5), (2, 5)), 55, 176.94545454545454)
(((1, 5), (1, 6)), 72, 198.75)
(((2, 4), (2, 5)), 1259, 486.43388554786407)
(((2, 5), (2, 6)), 91, 215.95604395604394)
(((3, 0), (3, 1)), 73, 199.0958904109589)
(((4, 0), (4, 1)), 47, 161.07801418439718)
(((4, 5), (4, 6)), 58, 181.37931034482764)
(((5, 3), (6, 3)), 127, 236.86614173228347)
(((5, 5), (5, 6)), 50, 167.26666666666668)
