500
2
2000
2
60202060506040604060304050105060602030105030601060203060603020504030301020104040204030302040103010
(((0, 2), (0, 3)), 16, 175.0)
(((1, 0), (2, 0)), 18, 189.44444444444446)
(((1, 0), (1, 1)), 14, 149.52380952380955)
(((1, 1), (2, 1)), 15, 156.66666666666666)
(((1, 1), (1, 2)), 15, 160.66666666666666)
(((2, 0), (2, 1)), 17, 187.64705882352942)
(((2, 2), (3, 2)), 1471, 556.5384563317936)
(((2, 3), (3, 3)), 299, 423.83596114030894)
(((2, 4), (2, 5)), 14, 150.71428571428572)
(((3, 1), (3, 2)), 21, 215.0)
(((3, 2), (3, 3)), 15, 165.33333333333334)
(((4, 0), (4, 1)), 18, 185.83333333333334)
(((4, 3), (4, 4)), 13, 141.53846153846155)
(((5, 1), (5, 2)), 18, 195.74074074074076)
(((5, 5), (6, 5)), 13, 130.0)
(((5, 5), (5, 6)), 23, 227.31884057971018)
