500
2
2000
2
40602050202010103010304060401040304040104060102060104060602040405020601060105040203020302040106060
(((0, 2), (0, 3)), 17, 193.43137254901958)
(((1, 2), (2, 2)), 15, 178.66666666666666)
(((2, 1), (2, 2)), 13, 147.69230769230765)
(((2, 5), (3, 5)), 1840, 534.4416925465817)
(((2, 5), (2, 6)), 15, 172.33333333333334)
(((3, 0), (3, 1)), 17, 191.47058823529412)
(((3, 4), (3, 5)), 13, 156.92307692307693)
(((3, 5), (3, 6)), 13, 150.76923076923077)
(((4, 4), (5, 4)), 17, 191.76470588235293)
(((5, 0), (5, 1)), 22, 231.13636363636363)
(((5, 3), (5, 4)), 18, 200.27777777777777)
