,score,board_init
0,2680,50201030505030402020406010203030604030105040501010406030403020201050106010406050303040405030301040
1,7340,30204010201030205040204010505030105030201010306030602060405060401030406030405040505020304260103040
2,4180,10403020302020405050303020202060104010403040506030602060402040401040101060405010505030205020305010
3,1820,30302030102010501010603030506020401020604020305060405030302050205040406040302030102050402030306050
4,4400,20206050605010301020506060506030201020205010304010406020506060404010604040501050301040405030604040
5,9120,10302060406010302060303040204010601050404010502010603060403060503040606050401040203050105060204050
6,4700,50303010602060301060603010506010105040406010603060503050504030101020505050603060603010506060103010
7,7220,30506060201040101030501040603030106040106010203060402030106060402050605030201040601010103020605010
8,4160,50301010303040501040504010502040402020606050305050603060405060105020403040105050106060504040104030
9,4540,20302040304010605060401020105050406030506020406050401010104040301010505020204030606010202060503020
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
