,1,2,3,5
0,3480,5380,5300,10760
1,20500,2280,13800,3620
2,3400,9660,8480,4620
3,8700,7540,4620,10620
4,7220,3560,8900,2560
5,18100,9120,15220,18960
6,3920,13180,6620,4280
7,7480,2760,7300,3100
8,9580,14020,9400,13160
9,7160,2420,7660,5920
10,3180,20300,10880,8220
11,1560,3580,9120,3720
12,8580,4740,29840,4880
13,10220,3340,16540,11460
14,1920,3840,2960,7800
15,15800,10640,10440,8700
16,4040,12840,12320,8100
17,18460,8640,15020,4180
18,9640,6660,6320,6220
19,4280,4980,1320,1680
20,1800,21300,2640,9320
21,2660,5300,12180,5160
22,1800,7000,4940,4280
23,2980,3560,9500,4300
24,9540,4620,4860,11220
25,7200,3140,2160,1920
26,2780,2760,6580,4300
27,2160,9140,17880,3520
28,2160,3360,2520,8580
29,2760,4020,14760,10080
30,3800,1680,11260,4940
31,15860,23800,16100,12140
32,24220,12440,4200,23860
33,11220,4780,9820,2280
34,1840,4980,11300,16080
35,7520,10060,12240,9320
36,2700,2640,9420,2900
37,19920,21240,13720,10320
38,3280,13920,7460,5960
39,7780,1680,10340,10020
40,10080,10140,10260,13220
41,2660,4120,4300,3100
42,9620,8140,11540,3120
43,2680,3800,12880,3980
44,3460,26440,11840,7000
45,8520,18440,30080,18280
46,2900,4000,7200,6060
47,14300,10220,2280,16100
48,4980,4900,3680,5680
49,4060,3100,3300,2520
50,2160,11880,1680,2880
51,2160,3700,2280,4020
52,4900,2020,4560,9220
53,24020,11620,20960,26680
54,5440,8900,5600,5160
55,8300,3460,10160,3260
56,3200,3600,14200,2400
57,9640,5360,9260,11780
58,7940,16660,6840,3920
59,2080,14720,2880,15820
60,3840,3380,3960,3860
61,5320,7480,2280,2420
62,17220,6480,4140,4280
63,16480,15380,14880,4040
64,8880,2700,9120,10580
65,7860,3100,2420,10880
66,2200,21400,1440,2520
67,8640,8560,2980,5720
68,2040,1840,2160,4240
69,2280,9000,3640,9920
70,4680,17080,6340,4080
71,3700,20720,9220,4540
72,3120,3700,5760,4360
73,2040,13080,9860,2520
74,2920,2280,2900,2780
75,1680,15960,11560,4480
76,5080,5720,9280,7580
77,1760,13580,3160,3020
78,8180,8840,15400,17400
79,4460,5240,5280,8020
80,8220,2280,4600,9140
81,2980,5520,2040,21940
82,3120,1800,3060,4300
83,3720,12100,10380,3520
84,3520,6320,8480,6420
85,1600,4900,4580,6040
86,2280,5440,15800,4080
87,4220,10500,2280,3840
88,2400,8960,3840,11780
89,1760,3520,2280,8740
90,3340,2040,4580,4300
91,4720,5220,7000,12060
92,11220,4360,11980,3500
93,5000,2780,10420,3260
94,7060,14980,9220,26460
95,3600,2940,2040,4540
96,2740,4460,2640,14960
97,3800,4440,8060,5600
98,3280,3220,7620,5300
99,2800,4440,2960,7940
