random,greedy,offline,mcts_base,mcts_fixed_depth,combined
2040,7440,2420,4160,6600,14220
2160,1920,7440,4140,2320,4260
3780,3080,2160,4680,2300,7020
2500,2980,2380,2300,19820,7860
3140,5840,31300,8380,19560,13860
2160,3480,7940,21000,11640,16200
2160,2980,3220,6900,4500,9500
2040,2040,8580,9820,4200,4980
4240,6020,4640,4620,7800,3360
2200,3080,3360,10460,9460,4700
1840,2040,2980,3000,2400,3160
1560,2860,1440,5220,5860,4240
1840,5960,6800,4920,6160,9340
1800,2280,3520,6080,4620,2280
2160,1680,4960,3680,7920,21500
1920,3540,1680,8480,8140,9780
1920,3460,1680,4340,6820,19760
1680,2440,5240,3200,2960,3660
2040,5340,7860,9720,3540,7420
1920,7900,7360,16880,2740,12660
1680,1920,7000,7200,1920,2040
2160,4360,4500,10880,8140,4080
2540,4260,3200,14740,5820,16000
1440,2520,3080,8560,8660,7480
1840,5660,1940,22660,14220,19360
1440,4320,4860,3300,4680,2580
1920,1920,1440,5320,4340,3880
1680,2380,2900,4800,9280,2140
3700,10280,1200,16600,3760,18560
1560,4460,2160,3980,10900,10400
3520,4620,8480,3880,7120,4960
2040,2620,2540,3820,6300,4780
2280,1680,3380,19740,11060,9740
3600,3560,1320,4920,4360,3400
1320,2080,2920,5820,2040,8200
5060,3880,1920,5260,4340,3920
7460,10040,14020,21080,9660,9660
1560,2760,3320,11520,2400,2400
1680,4460,2300,15100,6700,6560
1680,4080,2060,4160,3580,10260
7120,2160,1440,10080,3440,3060
1440,4060,4660,3920,7600,6300
1720,2520,1440,4720,1920,8660
9020,4300,3000,13420,7280,8260
1560,5580,3100,6480,3000,20520
2740,4500,1680,4920,1800,5380
2380,2280,1680,4480,3140,2140
3240,4920,2920,9020,6960,6420
2500,5900,16700,5280,3720,2640
2660,1920,13580,5300,2040,2040
2040,1440,1680,8320,3340,2260
1800,2720,2680,7900,4260,4740
2040,1440,4980,2260,15060,3820
3400,5320,3900,4780,4240,3320
1440,4180,6920,1800,11820,4460
1920,4540,1680,2640,8540,8580
3800,4400,9180,6340,10120,3920
1680,2780,9080,4680,7720,5260
2540,2160,1920,7520,2640,9020
1800,4640,3240,5060,4340,14360
1800,6420,9380,11140,8080,24580
2400,3620,2180,2180,3460,4560
1320,2400,7900,2040,2200,21320
2640,2900,11740,11880,2520,8300
2160,2280,1680,2620,11920,7940
1920,4120,2040,5120,2920,4300
7480,5760,2040,10560,6060,3460
1680,3460,3600,9120,13680,9420
1800,3580,2160,5840,8540,7420
3040,3820,3060,14220,9540,14560
3720,1320,2380,1680,24720,10260
2180,2760,3900,3900,1440,8060
1920,9600,3500,5320,4000,1920
2280,2500,3460,4880,4140,5400
1960,2400,2040,4760,5960,23860
1920,3360,3740,2920,9100,1680
2400,3800,2280,4440,5820,5360
2480,15080,7440,7320,1920,4340
1560,2760,7620,19860,11420,20860
4460,3020,2320,4320,5480,4440
2040,2620,2040,2340,8500,3380
2440,3600,3360,3980,14440,15260
2280,2180,1680,8460,6880,1680
1560,2160,3820,3360,3840,9900
2640,3600,2420,1680,4300,1800
3920,5900,5800,33000,7820,18640
2760,4840,11660,2280,3320,3640
3860,5220,1800,3760,6600,2840
2040,2040,2960,4540,3260,2620
4180,1560,1920,8840,4960,5740
7960,3680,1960,4200,3320,2520
1560,2280,1520,3260,4220,4800
1560,4320,12480,4580,2860,4920
1320,3900,1320,1800,3880,9880
1320,2420,7640,8860,2860,2400
1920,1960,2300,10620,8140,12780
1320,5620,2340,4100,4300,9920
1680,2800,3040,17380,5200,5320
2640,5720,3300,5480,3980,3000
7320,3800,7960,10340,11340,15920
4380,4620,3780,5860,5920,4180
1560,2880,3200,9840,9300,3100
2420,6080,3820,8180,6320,7060
1560,5600,1800,10900,14440,3480
6960,11020,17880,12140,8780,16200
1800,5540,2160,2760,10000,4160
4580,2280,2860,3200,3700,6520
1440,5320,1800,9060,3780,2960
