random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1320,3600,3220,15680,8080,26340
4660,6980,7040,5920,8040,4700
1440,17580,2640,3120,4760,3440
9240,1800,5680,3320,10300,4220
2040,2280,4680,9200,2400,5900
2160,2400,2280,2320,9000,8780
1280,2040,1400,14060,10280,7980
7080,8420,6840,9680,10720,12360
2860,1800,1200,3480,11240,3440
4540,5360,6160,2780,6800,8840
2780,3140,2280,3480,4100,9220
7200,2760,8080,8760,8560,17580
1680,7200,4260,13860,3740,11420
1320,1800,7440,8180,16420,21920
2640,3240,2280,14400,13480,4020
1440,3480,1800,10760,5140,7560
1560,3000,1480,14120,1840,3480
2760,1680,4440,1920,2860,21100
2780,2400,2780,3100,14900,4660
2280,7880,1440,4280,7760,8600
1560,2160,3600,2660,2840,6360
1680,1800,2540,10940,8440,7940
2380,3240,2260,3660,3720,3200
1680,2280,1920,8500,4460,6180
1920,6980,7900,5900,6800,1560
2400,3900,2180,2760,3620,5800
2020,4020,3460,9960,1720,1680
3540,2640,2980,8720,12020,2940
3220,3400,3260,15920,7240,8840
2680,1680,2020,1680,4360,4080
1560,3000,2040,12280,3560,1680
4440,2040,1800,3280,2980,1800
1960,2280,3280,12060,4940,3960
1920,3320,2660,4860,4400,2160
1440,4560,8900,7440,8280,13220
4560,3200,3820,3720,13980,6260
1800,5460,1560,4760,16620,9560
1680,5640,1200,5000,6680,7880
1920,11820,2900,3800,6660,5640
1560,4420,2520,11480,1800,4420
2300,2080,5440,2860,2740,6000
1680,6460,1680,2400,3400,15040
2160,2740,1920,3560,2260,1800
2040,3380,1920,4500,2540,3280
2040,1800,1920,2440,4340,5100
1600,1680,3400,6540,3640,2400
1560,1800,1320,8800,8980,1800
3080,15180,4080,7700,22740,3280
3340,3340,3720,9020,7600,2420
2240,3580,3460,10260,12180,4420
1680,1560,7320,1680,12820,2380
1560,3920,2080,15020,11700,3720
2040,3820,3940,4900,5040,9060
1320,2040,1840,2740,1800,7240
1920,3260,2740,6720,10380,5640
1320,17940,3440,7420,3800,9900
1560,2500,2040,6180,5880,3700
6880,3520,10800,4980,15440,9040
1560,3440,1480,10180,10780,2740
3000,1800,3100,7600,3980,14940
4820,5440,9560,3320,2300,8020
1560,2520,2860,9460,3600,5380
7780,8340,6360,2680,9280,8280
1440,4900,2200,3840,10780,6540
1800,10860,1920,8100,29780,10700
1440,3940,8580,3360,11340,4940
2840,4880,2620,23360,4200,4440
2740,4740,5260,8620,9880,20600
2420,3840,6120,11640,15360,6680
3100,2160,3100,14420,2560,3520
3140,2400,10220,4000,11240,3360
2260,4980,3320,4140,10860,4220
2000,4300,2500,3360,4060,2780
1440,2560,8000,17680,10900,21420
7340,2740,2740,3820,4060,5780
1840,2420,7200,9000,4060,16520
1680,8880,14400,10780,8300,12320
1320,5140,2780,6440,4720,5020
1720,7160,1560,4040,14600,10420
1320,17580,2560,8920,1440,2520
2320,2420,1680,3860,3120,10460
1560,2400,1680,4660,2280,1560
2180,3600,2040,3920,10140,13600
2920,4680,9760,8660,24040,5140
2160,3860,2880,3500,9100,17720
3020,1440,1680,5480,8460,2560
2860,2400,3360,3940,3600,4820
1680,2320,1200,8260,6380,4640
7280,6140,5940,1480,5120,8200
1680,2040,1680,9740,2400,3980
1720,2280,1680,1800,8280,3440
1440,2880,1920,2320,11120,10040
1800,1920,2700,10600,15500,28000
2040,3360,1560,7760,5220,4620
2040,1800,3100,3920,4140,4440
1680,2520,2280,23020,3660,4440
2040,3620,1560,3860,3220,4760
1800,1840,2040,2900,2200,1680
1920,3020,2160,3980,9680,3140
1440,3200,1920,1920,3700,3840
1800,8900,5880,10500,2900,4200
2420,3660,4340,4520,4480,4640
2880,4940,5100,5060,2360,9760
7200,8780,7720,9840,15140,9700
1920,3220,2660,2880,8700,2040
2520,3220,1680,4620,5920,4980
1680,1920,2320,3320,3160,6820
1560,1560,1800,13580,2080,2420
1320,3280,2840,3720,3480,4560
1680,3180,1200,1840,17340,11160
1680,1920,3500,2340,5240,3140
2040,2960,2440,8040,3820,4460
7320,9280,7240,10280,16800,7540
3600,1800,2040,3260,5840,8820
2060,3620,1440,3740,20220,4100
2900,7920,1920,11580,6960,10060
1800,3500,2420,2500,3460,3020
7800,2900,2040,3580,3620,6820
3720,3940,2040,4520,3880,3580
7540,5160,4840,12860,4660,11060
2040,2160,2760,12300,3380,3200
2380,2500,1800,2640,3940,2980
3160,2520,3200,2860,3240,4800
1920,4100,3560,3940,7680,8280
1440,2040,1800,16300,9220,3020
4040,3140,2200,3200,4900,4640
1600,1680,7360,4660,7200,2040
1440,4620,3520,6040,5620,11740
