random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1560,4380,22720,5980,2140,4080
7160,2880,1960,7480,8320,2980
2420,4160,5160,4200,5820,3540
2880,4420,1800,3480,9180,3640
1920,4800,4200,17360,11040,4200
3680,4560,4340,9940,4380,12000
2040,5660,11440,9060,20900,11580
1680,2080,2860,3500,7240,3120
3840,1800,2300,4120,2280,7520
1560,10740,4220,4860,11860,11260
1320,1320,1560,10740,3840,2980
2040,2280,3840,1920,4420,3800
3240,3900,2180,11440,2740,14900
2380,2860,1200,9280,3680,2460
2200,2160,5300,2620,4760,4660
1560,3080,3700,8800,3120,3940
3840,2880,2140,4480,6400,12980
1440,3140,3200,8700,7960,12300
1800,3260,8000,8940,9500,6800
2700,7020,2780,4300,10000,2040
1200,8640,9620,11400,11100,10280
2320,1920,3380,4420,2940,1680
2200,2980,10020,25900,2280,11740
1200,4360,3800,3720,4740,4300
1560,2640,1800,10280,2040,7080
4800,5620,5920,6340,5040,5380
1680,6180,4780,3640,4560,15960
7400,2400,13820,11840,10280,11620
2380,1440,1840,2740,7440,3460
2040,3440,1720,18260,2040,15440
2480,2400,1800,2500,2900,8320
1800,4560,3640,10540,11560,4400
1560,2040,1560,3740,5040,14420
2520,1680,2400,4940,9540,9380
2300,6560,4060,11000,15880,5540
2380,3920,1940,2360,14140,2280
1440,4060,4000,20840,6800,5280
1920,2800,3600,3540,4400,3580
1560,2860,3120,14440,2280,3140
2200,2460,2280,7200,5200,5120
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
