random,greedy,offline,mcts_base,mcts_fixed_depth,combined,human
1320.0,5560.0,3700.0,13260.0,3800.0,4580.0,2040.0
2280.0,7720.0,21620.0,1920.0,3540.0,4060.0,3480.0
3420.0,3020.0,2140.0,4580.0,6800.0,7120.0,6100.0
3520.0,2320.0,7540.0,2420.0,2560.0,8060.0,8600.0
1560.0,3220.0,5440.0,8220.0,9500.0,3780.0,9580.0
3300.0,3100.0,9140.0,12420.0,4320.0,5960.0,14220.0
1320.0,2400.0,2320.0,6060.0,5080.0,23520.0,2380.0
2920.0,2080.0,3980.0,5540.0,7680.0,2500.0,3320.0
1840.0,2040.0,1560.0,2520.0,7000.0,8780.0,1800.0
1680.0,5080.0,2040.0,5320.0,13260.0,5500.0,13780.0
