random,mcts_base,mcts_fixed_depth,offline,combined
1560,11620,3140,1960,2660
1920,3940,2300,2040,7560
1440,2200,4460,1440,4620
1680,7500,3940,2040,15340
2980,3680,16680,4260,4320
1920,7820,3440,3580,8460
1440,7860,10320,2040,7400
3500,21360,10580,1600,4120
1320,8320,2880,1520,3140
1800,3080,3560,1800,2280
1680,1560,2820,1560,3960
2040,3160,9240,1440,10460
3360,10520,25220,1440,19520
2960,7620,5420,2000,13160
1440,3560,3040,1440,7160
2280,4240,3360,1600,10660
2320,4560,13620,3980,3180
1560,2900,4460,1320,2280
2240,4260,4640,2380,3720
1920,25280,6840,2040,2160
3440,1800,3800,4340,8860
1200,3640,4420,1560,11100
2760,3700,5520,3120,8440
1680,8660,4540,2040,3720
2980,3880,2520,2080,10400
2620,17640,4680,1360,8980
2300,2880,5740,1680,6040
2040,16080,4240,1960,12920
4980,11800,5420,3100,5820
2420,4020,16280,2760,15420
1560,2500,2880,2020,1800
3640,4160,7960,2940,8940
3740,4700,3320,3300,4520
7200,24320,22360,8520,29560
4400,4380,12820,3000,5440
1920,2900,9340,1680,4160
3540,4700,7720,2060,3040
2160,25800,8640,1840,5140
2040,15060,9400,1800,7280
2380,10340,7440,3480,6220
1800,6380,3440,1320,6140
2540,13100,21100,2660,9400
3300,2760,15360,7940,7720
1920,5360,10540,1480,3840
7440,15360,12860,1800,14400
3640,4760,3180,1800,1920
3400,15100,2280,1800,9040
2500,3800,22180,2620,5140
3520,3760,3520,2200,1560
1720,2140,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
